"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy both charms (application and database) to use in the tests.","90287","test_deploy_charms","tests.integration.relations","Wed Apr 09 01:31:31 UTC 2025","passed","Wed Apr 09 01:33:01 UTC 2025","","test_relations","",""
"Build and deploy three unit of PostgreSQL.","312548","test_build_and_deploy","tests.integration.ha_tests","Wed Apr 09 01:31:54 UTC 2025","passed","Wed Apr 09 01:37:07 UTC 2025","","test_self_healing_1","",""
"Build and deploy two units of PostgreSQL in AWS and then test PITR backup and restore actions.","1942116","test_pitr_backup_aws","tests.integration","Wed Apr 09 01:31:18 UTC 2025","passed","Wed Apr 09 02:03:40 UTC 2025","","test_backups_pitr_aws","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","47354","test_full_cluster_restart[SIGKILL-/usr/bin/patroni]","tests.integration.ha_tests","Wed Apr 09 02:04:36 UTC 2025","passed","Wed Apr 09 02:05:24 UTC 2025","","test_self_healing_1","",""
"","0","test_upgrade","tests.integration.ha_tests","Wed Apr 09 01:33:59 UTC 2025","skipped","Wed Apr 09 01:33:59 UTC 2025","","test_upgrade_to_primary_label","",""
"Tests that the cluster maintains a primary after the primary is deleted.","335309","test_cluster_is_stable_after_leader_deletion","tests.integration","Wed Apr 09 01:37:00 UTC 2025","passed","Wed Apr 09 01:42:35 UTC 2025","","test_charm","",""
"Test switching over to the second cluster.","283973","test_switchover","tests.integration.ha_tests","Wed Apr 09 01:44:13 UTC 2025","passed","Wed Apr 09 01:48:57 UTC 2025","","test_async_replication","",""
"","2054","test_settings_are_correct[0]","tests.integration","Wed Apr 09 01:35:47 UTC 2025","passed","Wed Apr 09 01:35:49 UTC 2025","","test_charm","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","Wed Apr 09 01:30:59 UTC 2025","skipped","Wed Apr 09 01:30:59 UTC 2025","","test_rollback_to_master_label","",""
"Test data persists through a failure.","436595","test_persist_data_through_failure","tests.integration","Wed Apr 09 01:48:58 UTC 2025","passed","Wed Apr 09 01:56:15 UTC 2025","","test_charm","",""
"Build and deploy three unit of PostgreSQL.","269123","test_build_and_deploy","tests.integration.ha_tests","Wed Apr 09 01:31:08 UTC 2025","passed","Wed Apr 09 01:35:37 UTC 2025","","test_synchronous_policy","",""
"Checks if charm gets blocked when trying to disable a plugin in use.","138923","test_plugin_objects","tests.integration","Wed Apr 09 01:37:37 UTC 2025","passed","Wed Apr 09 01:39:56 UTC 2025","","test_plugins","",""
"Redeploy the charm in the same model to test that it works.","282028","test_redeploy_charm_same_model","tests.integration","Wed Apr 09 01:57:08 UTC 2025","passed","Wed Apr 09 02:01:50 UTC 2025","","test_charm","",""
"Test data is replicated to new units after a scale up.","343939","test_scale_down_and_up","tests.integration","Wed Apr 09 01:42:35 UTC 2025","passed","Wed Apr 09 01:48:19 UTC 2025","","test_charm","",""
"Completely cut and restore network.","235551","test_network_cut","tests.integration.ha_tests","Wed Apr 09 02:07:18 UTC 2025","passed","Wed Apr 09 02:11:14 UTC 2025","","test_self_healing_1","",""
"Remove unit with force while storage is alive.","154326","test_app_force_removal","tests.integration.ha_tests","Wed Apr 09 01:31:46 UTC 2025","passed","Wed Apr 09 01:34:20 UTC 2025","","test_smoke","",""
"Test that async replication works when scaling the clusters.","660045","test_scaling","tests.integration.ha_tests","Wed Apr 09 01:58:26 UTC 2025","passed","Wed Apr 09 02:09:26 UTC 2025","","test_async_replication","",""
"Test restart of all the units simultaneously.","175685","test_restart","tests.integration.ha_tests","Wed Apr 09 01:36:33 UTC 2025","passed","Wed Apr 09 01:39:29 UTC 2025","","test_restart","",""
"Build and deploy three unit of PostgreSQL.","306440","test_build_and_deploy","tests.integration.ha_tests","Wed Apr 09 01:31:51 UTC 2025","passed","Wed Apr 09 01:36:58 UTC 2025","","test_self_healing_2","",""
