"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests that the cluster maintains a primary after the primary is deleted.","415872","test_cluster_is_stable_after_leader_deletion","tests.integration","Fri Jun 13 01:37:09 UTC 2025","passed","Fri Jun 13 01:44:05 UTC 2025","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGTERM-/usr/bin/patroni]","tests.integration.ha_tests","Fri Jun 13 01:57:36 UTC 2025","skipped","Fri Jun 13 01:57:36 UTC 2025","","test_self_healing_1","",""
"Scale the database to zero units and scale up again.","594393","test_scaling_to_zero","tests.integration.ha_tests","Fri Jun 13 01:35:29 UTC 2025","passed","Fri Jun 13 01:45:24 UTC 2025","","test_self_healing_2","",""
"Trust existing blocked deployment.

    Assert on the application status recovering to active.
    ","245847","test_trust_blocked_deployment","tests.integration","Fri Jun 13 01:31:29 UTC 2025","passed","Fri Jun 13 01:35:35 UTC 2025","","test_trust","",""
"Test that a previously broken relation would be functional if restored.","163070","test_restablish_relation","tests.integration.new_relations","Fri Jun 13 02:02:56 UTC 2025","passed","Fri Jun 13 02:05:39 UTC 2025","","test_new_relations_1","",""
"","391605","test_glauth_integration","tests.integration","Fri Jun 13 01:32:59 UTC 2025","passed","Fri Jun 13 01:39:30 UTC 2025","","test_ldap","",""
"","21","test_database_is_up[0]","tests.integration","Fri Jun 13 01:35:57 UTC 2025","passed","Fri Jun 13 01:35:57 UTC 2025","","test_charm","",""
"","0","test_delete_pod","tests.integration","Fri Jun 13 02:00:12 UTC 2025","skipped","Fri Jun 13 02:00:12 UTC 2025","","test_backups_gcp","",""
"","159608","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","Fri Jun 13 01:40:45 UTC 2025","passed","Fri Jun 13 01:43:25 UTC 2025","","test_self_healing_1","",""
"Test that passwords don't get exposed on postgresql logs.","756","test_no_password_exposed_on_logs","tests.integration","Fri Jun 13 01:42:12 UTC 2025","passed","Fri Jun 13 01:42:13 UTC 2025","","test_password_rotation","",""
